2383.0,1126.0,767.5,,,,767.5,240000G30707
,,,572.0,363.0,213.0,213.0,760000K5880D
,,,750.0,426.0,251.0,251.0,6b0000Z20202
2383.0,1126.0,767.5,,,,767.5,760000G30805
,,,613.0,389.0,229.0,229.0,2400000Z490D
,,,750.0,426.0,251.0,251.0,240000Z2010A
,,,750.0,426.0,251.0,251.0,2400000Z9702
2232.0,1048.0,720.0,,,,720.0,77000G131403
2232.0,1048.0,720.0,,,,720.0,760000G31403
,,,629.0,399.0,236.0,236.0,770000K59009
2724.0,1380.0,862.0,,,,862.0,2400000G670A
,,,673.0,426.0,251.0,251.0,2400000Z9501
,,,602.0,337.0,198.0,198.0,630000K20209
,,,629.0,399.0,236.0,236.0,240000K50722
,,709.0,999.0,,,709.0,6i0000D92808
2724.0,1380.0,862.0,,,,862.0,6i00000G720C
,,,750.0,426.0,251.0,251.0,240000Z2010A
2724.0,1380.0,862.0,,,,862.0,6i00000G8007
,,,572.0,363.0,213.0,213.0,760000K83500
,,,673.0,426.0,251.0,251.0,7700000Z9601
,,,602.0,337.0,198.0,198.0,770000K20104
,,,572.0,363.0,213.0,213.0,690000K5860E
,,,613.0,389.0,229.0,229.0,7700000T1006
,,,78.0,54.0,8.0,8.0,24000K775402
,,709.0,999.0,,,709.0,240000D90900
,,709.0,999.0,,,709.0,6i0000D9020C
2724.0,1380.0,862.0,,,,862.0,2400000G710A
2232.0,1048.0,720.0,,,,720.0,6i000G131202
,,709.0,999.0,,,709.0,240000D92310
,,,750.0,426.0,251.0,251.0,6b0000Z20202
,,,78.0,54.0,8.0,8.0,26000K775201
,,,602.0,337.0,198.0,198.0,770000K8130D
,,,750.0,426.0,251.0,251.0,330000K5980R
,,,750.0,426.0,251.0,251.0,2400000Z3501
,,,613.0,389.0,229.0,229.0,77000000Z400
2383.0,1126.0,767.5,,,,767.5,770000G31005
,,,602.0,337.0,198.0,198.0,630000K7760E
,,,737.0,414.0,243.0,243.0,770000K35804
,,,750.0,426.0,251.0,251.0,6500000Z9801
,,709.0,999.0,,,709.0,240000D9010F
2383.0,1126.0,767.5,,,,767.5,240000G30707
,,,613.0,,229.0,229.0,24000000Z320
,,,602.0,337.0,198.0,198.0,770000K77507
,,709.0,999.0,,,709.0,6i0000D91008
2724.0,1380.0,862.0,,,,862.0,2400000G650B
,,,602.0,337.0,198.0,198.0,770000K6870A
,,709.0,999.0,,,709.0,240000D92707
,,,750.0,426.0,251.0,251.0,6300000Z3600
,,,629.0,399.0,236.0,236.0,240000K50722
,,,613.0,389.0,229.0,229.0,7600000Z5003
,,,572.0,363.0,213.0,213.0,690000K83609
2232.0,1048.0,720.0,,,,720.0,6c000G131602
,,,602.0,337.0,198.0,198.0,670000K68802
2232.0,1048.0,720.0,,,,720.0,6c0000G31202
,,,598.0,381.0,224.0,224.0,770000K82009
,,709.0,999.0,,,709.0,6e0000D92404
,,709.0,999.0,,,709.0,6i0000D92808
,,,750.0,426.0,251.0,251.0,630000K6000D
,,,750.0,426.0,251.0,251.0,2400000Z3501
2724.0,1380.0,862.0,,,,862.0,2400000G790B
2724.0,,862.0,,,,862.0,6i00000G8007
,,,682.0,381.0,224.0,224.0,650000K48605
2383.0,1126.0,767.5,,,,767.5,240000G30905
,,,602.0,337.0,198.0,198.0,660000K8140E
,,709.0,999.0,,,709.0,240000D90305
,,,613.0,389.0,229.0,229.0,240000K5890Q
,,,613.0,389.0,229.0,229.0,7700000T1006
,,,602.0,337.0,198.0,198.0,630000K1920N
,,,694.0,389.0,229.0,229.0,760000K4880C
,,,613.0,389.0,229.0,229.0,24000000T90Q
,,,602.0,337.0,198.0,198.0,760000K19402
,,,737.0,414.0,243.0,243.0,630000K3560A
,,,750.0,426.0,251.0,251.0,6300000Z3600
2232.0,1048.0,720.0,,,,720.0,76000G131803
,,,629.0,399.0,236.0,236.0,780000K5080J
,,,598.0,381.0,224.0,224.0,240000K8190H
2724.0,1380.0,862.0,,,,862.0,6c00000G7008
,,,673.0,426.0,251.0,251.0,2400000Z9501
,,709.0,999.0,,,709.0,240000D92707
2383.0,1126.0,767.5,,,,767.5,770000G31005
,,709.0,999.0,,,709.0,240000D9010F
,,709.0,999.0,,,709.0,6i0000D9040C
,,709.0,999.0,,,709.0,6i0000D91008
2724.0,1380.0,862.0,,,,862.0,6c00000G6604
,,,613.0,389.0,229.0,229.0,2400000Z490D
,,,750.0,426.0,251.0,251.0,2400000Z9702
2724.0,1380.0,862.0,,,,862.0,6c00000G6809
2724.0,1380.0,862.0,,,,862.0,2400000G6906
2724.0,1380.0,862.0,,,,862.0,2400000G790B
