6300000Z3600,Z36,GZQ,广州,BXP,北京西,GZQ,广州,BXP,北京西,16:25,13:44,1,,21:19,Y,1279,10251031864075000001102510033361383000143042600180,20161229,20161113,W343136333,1040106030,3,14163,Q9,01,07,59,1100,0,0,正常车次，不受控
6500000Z9801,Z98,JQO,九龙,BXP,北京西,GGQ,广州东,BXP,北京西,18:06,15:30,1,,21:24,Y,1284,1025103130407500002010251001663042600012,20161229,20161113,W3431333,10401030,3,1413,Q9,02,06,59,1130,0,0,正常车次，不受控
6e0000D92404,D924,ZHQ,珠海,BXP,北京西,IZQ,广州南,BXP,北京西,20:10,06:51,1,动车,10:41,Y,641,F099900032O070900000,20991231,20161113,O3F3,F0O0,3,FO,Q7,02,06,29,1400,1,0,正常车次，不受控
6i0000D9020C,D902,IOQ,深圳北,BXP,北京西,IZQ,广州南,BXP,北京西,20:15,06:56,1,动车,10:41,Y,641,O070900000F099900036,20991231,20161113,F3O3,O0F0,3,OF,Q6,02,05,29,0900,1,0,正常车次，不受控
6i0000D9040C,D904,IOQ,深圳北,BXP,北京西,IZQ,广州南,BXP,北京西,20:20,07:01,1,动车,10:41,Y,641,O070900000F099900033,20991231,20161113,F3O3,O0F0,3,OF,Q9,02,06,29,0900,1,0,正常车次，不受控
6i0000D91008,D910,IOQ,深圳北,BXP,北京西,IZQ,广州南,BXP,北京西,20:25,07:13,1,动车,10:48,Y,648,O070900000F099900040,20991231,20161113,F3O3,O0F0,3,OF,Q7,02,07,29,0900,1,0,正常车次，不受控
6i0000D92808,D928,IOQ,深圳北,BXP,北京西,IZQ,广州南,BXP,北京西,20:30,07:18,1,动车,10:48,Y,648,F099900036O070900000,20991231,20161113,O3F3,F0O0,3,FO,Q7,02,07,29,0900,1,0,正常车次，不受控
77000G131403,G1314,CUW,重庆北,IOQ,深圳北,CUW,重庆北,IZQ,广州南,07:49,19:45,0,,11:56,Y,716,O072000358M1048000009223200005,20161229,20161113,O3M393,O0M090,3,OM9,W1,01,20,59,1100,0,0,正常车次，不受控
76000G131803,G1318,ICW,成都东,IZQ,广州南,CUW,重庆北,IZQ,广州南,10:12,21:50,0,,11:38,Y,698,O072000037M1048000009223200000,20161229,20161113,O3M393,O0M090,3,OM9,W2,04,22,59,1100,0,0,正常车次，不受控
760000G31403,G314,ICW,成都东,IZQ,广州南,CUW,重庆北,IZQ,广州南,11:46,23:39,0,,11:53,Y,713,O072000027M1048000009223200000,20161229,20161113,O3M393,O0M090,3,OM9,W1,04,24,59,1100,0,0,正常车次，不受控
